path	status	holla_mode	main_mode	holla_blob	main_blob	partition	kind	added	removed	review_status
apps/showcase/src/pages/tables.rs	A	000000	100644	0000000000000000000000000000000000000000	ebbe7589f22586082bd3309602d53b8a250dc4d2	showcase	text	619	0	unread
apps/showcase/src/pages/taskrunner.rs	A	000000	100644	0000000000000000000000000000000000000000	2e3097b8d3e9e36ac48cde8e52f79dc45b3dffe1	showcase	text	598	0	unread
apps/showcase/src/pages/terminal.rs	A	000000	100644	0000000000000000000000000000000000000000	e252125d8f6334916b983d921f67c59922fc762c	showcase	text	496	0	unread
apps/showcase/src/pages/textareas.rs	A	000000	100644	0000000000000000000000000000000000000000	22beb7b1479264184b0667ecdf4dd5353265c96a	showcase	text	369	0	unread
apps/showcase/src/pages/trees.rs	A	000000	100644	0000000000000000000000000000000000000000	33dc2457acfa1b7e75ca9e78413408607136b4a5	showcase	text	329	0	unread
apps/showcase/src/render_number.rs	A	000000	100644	0000000000000000000000000000000000000000	00b784432233cd672b1c460f4dd032325e8a5bec	showcase	text	68	0	unread
apps/showcase/tests/app_tests.rs	A	000000	100644	0000000000000000000000000000000000000000	f5812515fb5c9484648cbaa3395bde6490eebfa6	showcase	text	996	0	unread
apps/showcase/tests/baselines/showcase.txt	A	000000	100644	0000000000000000000000000000000000000000	e32c771074ffd8bf631c449a513214d440491bb3	showcase	text	737	0	unread
apps/showcase/tests/elapsed_contract.rs	A	000000	100644	0000000000000000000000000000000000000000	5c5ceefb518c0761c4a9d7e9c975441c32807c13	showcase	text	202	0	unread
apps/showcase/tests/fixtures/holla-page-headings.tsv	A	000000	100644	0000000000000000000000000000000000000000	937469be55bff7007cfac8c036dc0909f0ad8647	showcase	text	352	0	unread
apps/showcase/tests/fixtures/holla-shell-headers.tsv	A	000000	100644	0000000000000000000000000000000000000000	6e6cebb12984f023ccdeab6d80f59dbb19267a9f	showcase	text	355	0	unread
apps/showcase/tests/page_headings.rs	A	000000	100644	0000000000000000000000000000000000000000	289c909524526a115c637ade49989fa9b2b0046f	showcase	text	52	0	unread
apps/showcase/tests/perf.rs	A	000000	100644	0000000000000000000000000000000000000000	461f634a803d2c9deab13ea13fde6018ebde2ac8	showcase	text	150	0	unread
apps/showcase/tests/perf_baseline.txt	A	000000	100644	0000000000000000000000000000000000000000	7e557fa112799bc9fc8e09524efdaf75bf10a605	showcase	text	2	0	unread
apps/showcase/tests/sidebar_contract.rs	A	000000	100644	0000000000000000000000000000000000000000	38958f7961ac9c906e7e6620a565f6d4b0c0b48c	showcase	text	195	0	unread
apps/showcase/tests/visual.rs	A	000000	100644	0000000000000000000000000000000000000000	29d4272c3fe849af9b761e5f3a81154712a37357	showcase	text	34	0	unread
apps/tablepro/Cargo.toml	A	000000	100644	0000000000000000000000000000000000000000	77a06baa3f14e31bdc886b5dff61580f17b6c86d	tablepro	text	26	0	unread
apps/tablepro/src/app.rs	A	000000	100644	0000000000000000000000000000000000000000	740f33f25c521b989acc0d1bf0ea88268c809a4b	tablepro	text	3333	0	unread
apps/tablepro/src/cli.rs	A	000000	100644	0000000000000000000000000000000000000000	27bad74ff0ff37d69fdc4826958a27e0517a1f85	tablepro	text	156	0	unread
apps/tablepro/src/connections.rs	A	000000	100644	0000000000000000000000000000000000000000	1afaca349beff5367c52de4f508d47cab3d0a8fe	tablepro	text	475	0	unread
